epoch,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,6_precision,6_recall,6_f1-score,6_support,7_precision,7_recall,7_f1-score,7_support,8_precision,8_recall,8_f1-score,8_support,9_precision,9_recall,9_f1-score,9_support,10_precision,10_recall,10_f1-score,10_support,11_precision,11_recall,11_f1-score,11_support,12_precision,12_recall,12_f1-score,12_support,13_precision,13_recall,13_f1-score,13_support,14_precision,14_recall,14_f1-score,14_support,15_precision,15_recall,15_f1-score,15_support,16_precision,16_recall,16_f1-score,16_support,17_precision,17_recall,17_f1-score,17_support,18_precision,18_recall,18_f1-score,18_support,19_precision,19_recall,19_f1-score,19_support,20_precision,20_recall,20_f1-score,20_support,21_precision,21_recall,21_f1-score,21_support,22_precision,22_recall,22_f1-score,22_support,23_precision,23_recall,23_f1-score,23_support,24_precision,24_recall,24_f1-score,24_support,25_precision,25_recall,25_f1-score,25_support,26_precision,26_recall,26_f1-score,26_support,27_precision,27_recall,27_f1-score,27_support,28_precision,28_recall,28_f1-score,28_support,29_precision,29_recall,29_f1-score,29_support,30_precision,30_recall,30_f1-score,30_support,31_precision,31_recall,31_f1-score,31_support,32_precision,32_recall,32_f1-score,32_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
1,0.0,0.0,0.0,37.0,0.02735562310030395,0.05660377358490566,0.036885245901639344,477.0,0.0,0.0,0.0,23.0,0.01838235294117647,0.01644736842105263,0.017361111111111112,304.0,0.029585798816568046,0.0499001996007984,0.03714710252600297,501.0,0.009259259259259259,0.015625,0.011627906976744186,128.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,78.0,0.1500945179584121,0.15015128593040847,0.15012289657780298,2644.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.055220883534136546,0.044751830756712775,0.04943820224719101,1229.0,0.025134649910233394,0.028747433264887063,0.02681992337164751,487.0,0.0,0.0,0.0,29.0,0.043478260869565216,0.037037037037037035,0.04,27.0,0.0,0.0,0.0,351.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.004081632653061225,0.013333333333333334,0.00625,75.0,0.05063291139240506,0.011799410029498525,0.019138755980861243,339.0,0.0,0.0,0.0,60.0,0.020833333333333332,0.003816793893129771,0.0064516129032258064,524.0,0.4956245898052942,0.5272282988131254,0.5109382047812359,8594.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,68.0,0.008119079837618403,0.0410958904109589,0.013559322033898305,146.0,0.0,0.0,0.0,248.0,0.03389830508474576,0.03389830508474576,0.03389830508474576,59.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,161.0,0.2903262736119061,0.02944549086351858,0.031225332126078597,0.029079957257457763,17470.0,0.27497114214774865,0.2903262736119061,0.28163233707341745,17470.0
2,0.0,0.0,0.0,37.0,0.018461538461538463,0.012578616352201259,0.014962593516209476,477.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,304.0,0.020151133501259445,0.015968063872255488,0.017817371937639197,501.0,0.003424657534246575,0.015625,0.0056179775280898875,128.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,78.0,0.14711429649188984,0.1475037821482602,0.14730878186968838,2644.0,0.0049261083743842365,0.010752688172043012,0.006756756756756757,93.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.02564102564102564,0.02702702702702703,0.02631578947368421,37.0,0.08103130755064457,0.07160292921074043,0.07602591792656588,1229.0,0.025,0.02053388090349076,0.02254791431792559,487.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,27.0,0.028688524590163935,0.019943019943019943,0.023529411764705882,351.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.04,0.013333333333333334,0.02,75.0,0.026737967914438502,0.029498525073746312,0.028050490883590462,339.0,0.0,0.0,0.0,60.0,0.009009009009009009,0.0019083969465648854,0.0031496062992125984,524.0,0.48866471417724267,0.5242029322783337,0.5058103632178745,8594.0,0.025974025974025976,0.01694915254237288,0.020512820512820513,354.0,0.0,0.0,0.0,68.0,0.017130620985010708,0.0547945205479452,0.026101141924959218,146.0,0.02358490566037736,0.020161290322580645,0.021739130434782608,248.0,0.016666666666666666,0.01694915254237288,0.01680672268907563,59.0,0.0,0.0,0.0,21.0,0.007936507936507936,0.006211180124223602,0.006968641114982578,161.0,0.2891242129364625,0.030610394256619135,0.031077075495167007,0.030000649459653438,17470.0,0.2729092680030962,0.2891242129364625,0.28040730872073555,17470.0
3,0.0,0.0,0.0,37.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,23.0,0.010610079575596816,0.013157894736842105,0.011747430249632892,304.0,0.026422764227642278,0.02594810379241517,0.026183282980866064,501.0,0.0,0.0,0.0,128.0,0.024291497975708502,0.025210084033613446,0.024742268041237112,238.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,78.0,0.14628482972136223,0.14296520423600606,0.14460596786534047,2644.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.06663613464621021,0.2367778681855167,0.10400285918513223,1229.0,0.04819277108433735,0.03285420944558522,0.03907203907203907,487.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,351.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,75.0,0.020512820512820513,0.02359882005899705,0.02194787379972565,339.0,0.010869565217391304,0.016666666666666666,0.013157894736842105,60.0,0.0266497461928934,0.04007633587786259,0.03201219512195122,524.0,0.48822780782691694,0.3571096113567605,0.4125,8594.0,0.0196078431372549,0.014124293785310734,0.016420361247947456,354.0,0.0,0.0,0.0,68.0,0.015105740181268883,0.03424657534246575,0.020964360587002098,146.0,0.01098901098901099,0.004032258064516129,0.0058997050147492625,248.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,21.0,0.014492753623188406,0.012422360248447204,0.013377926421404682,161.0,0.21866056096164854,0.02814828378520008,0.02967243290396986,0.026867701949208192,17470.0,0.27166530706931574,0.21866056096164851,0.23665044361974166,17470.0
4,0.0,0.0,0.0,37.0,0.04597701149425287,0.008385744234800839,0.014184397163120567,477.0,0.0,0.0,0.0,23.0,0.016666666666666666,0.003289473684210526,0.005494505494505495,304.0,0.028965517241379312,0.041916167664670656,0.03425774877650897,501.0,0.008849557522123894,0.0078125,0.008298755186721992,128.0,0.015527950310559006,0.02100840336134454,0.017857142857142856,238.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,78.0,0.15041572184429328,0.15052950075642965,0.1504725897920605,2644.0,0.010752688172043012,0.010752688172043012,0.010752688172043012,93.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.029411764705882353,0.02702702702702703,0.028169014084507043,37.0,0.07761607761607761,0.09113100081366965,0.08383233532934131,1229.0,0.028761061946902654,0.026694045174537988,0.027689030883919063,487.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,27.0,0.02849002849002849,0.02849002849002849,0.02849002849002849,351.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,75.0,0.01971830985915493,0.02064896755162242,0.020172910662824207,339.0,0.0,0.0,0.0,60.0,0.06521739130434782,0.01717557251908397,0.027190332326283987,524.0,0.4918032786885246,0.5340935536420759,0.5120767557315781,8594.0,0.020771513353115726,0.01977401129943503,0.020260492040520984,354.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,146.0,0.01,0.008064516129032258,0.008928571428571428,248.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,21.0,0.0058823529411764705,0.006211180124223602,0.006042296072507553,161.0,0.29668002289639384,0.03196445127747056,0.031000132746795014,0.03042938165127835,17470.0,0.2772591867726545,0.29668002289639384,0.28560682531109277,17470.0
5,0.030303030303030304,0.02702702702702703,0.02857142857142857,37.0,0.029850746268656716,0.012578616352201259,0.017699115044247787,477.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,304.0,0.026119402985074626,0.041916167664670656,0.03218390804597701,501.0,0.007751937984496124,0.0078125,0.007782101167315175,128.0,0.01282051282051282,0.012605042016806723,0.012711864406779662,238.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,78.0,0.1556479032867397,0.15582450832072617,0.15573615573615573,2644.0,0.012658227848101266,0.010752688172043012,0.011627906976744186,93.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.0701468189233279,0.06997558991049634,0.07006109979633401,1229.0,0.03,0.030800821355236138,0.030395136778115502,487.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,27.0,0.014457831325301205,0.017094017094017096,0.015665796344647518,351.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.023255813953488372,0.013333333333333334,0.01694915254237288,75.0,0.021621621621621623,0.02359882005899705,0.022566995768688293,339.0,0.0,0.0,0.0,60.0,0.02869757174392936,0.04961832061068702,0.03636363636363636,524.0,0.4957581550961883,0.48277868280195485,0.48918233802982963,8594.0,0.010075566750629723,0.011299435028248588,0.010652463382157125,354.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,146.0,0.020833333333333332,0.028225806451612902,0.023972602739726026,248.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,59.0,0.0,0.0,0.0,21.0,0.010752688172043012,0.012422360248447204,0.011527377521613832,161.0,0.2718946765884373,0.030839403483601438,0.031048875423905404,0.030624188841155822,17470.0,0.27745943950720875,0.2718946765884373,0.27438353417414046,17470.0
6,0.0,0.0,0.0,37.0,0.03305785123966942,0.016771488469601678,0.022253129346314324,477.0,0.009009009009009009,0.08695652173913043,0.0163265306122449,23.0,0.0,0.0,0.0,304.0,0.02832512315270936,0.04590818363273453,0.035034272658035034,501.0,0.0,0.0,0.0,128.0,0.008620689655172414,0.008403361344537815,0.00851063829787234,238.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,78.0,0.15209988649262202,0.15204236006051436,0.152071117836202,2644.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.06254886630179828,0.06509357200976404,0.06379585326953748,1229.0,0.04056795131845842,0.04106776180698152,0.04081632653061224,487.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,27.0,0.016042780748663103,0.008547008547008548,0.011152416356877323,351.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,75.0,0.027190332326283987,0.02654867256637168,0.026865671641791045,339.0,0.0,0.0,0.0,60.0,0.04043126684636118,0.02862595419847328,0.0335195530726257,524.0,0.49334526339335644,0.5132650686525483,0.5031080695751354,8594.0,0.01597444089456869,0.014124293785310734,0.014992503748125937,354.0,0.0,0.0,0.0,68.0,0.006369426751592357,0.0136986301369863,0.008695652173913044,146.0,0.019230769230769232,0.012096774193548387,0.01485148514851485,248.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,21.0,0.006756756756756757,0.006211180124223602,0.006472491909385114,161.0,0.2854035489410418,0.02907789133690275,0.031495782765688936,0.029044415520520808,17470.0,0.27586063738238853,0.2854035489410418,0.28028195496803104,17470.0
7,0.0,0.0,0.0,37.0,0.017699115044247787,0.008385744234800839,0.011379800853485065,477.0,0.0,0.0,0.0,23.0,0.07317073170731707,0.009868421052631578,0.017391304347826087,304.0,0.027164685908319185,0.031936127744510975,0.029357798165137616,501.0,0.0,0.0,0.0,128.0,0.004524886877828055,0.004201680672268907,0.004357298474945534,238.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,78.0,0.1438278595696489,0.14409984871406958,0.14396372567542037,2644.0,0.03225806451612903,0.010752688172043012,0.016129032258064516,93.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.07268722466960352,0.080553295362083,0.07641837128521806,1229.0,0.041237113402061855,0.04106776180698152,0.0411522633744856,487.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,27.0,0.029411764705882353,0.017094017094017096,0.021621621621621623,351.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,75.0,0.018292682926829267,0.017699115044247787,0.017991004497751123,339.0,0.0,0.0,0.0,60.0,0.01932367149758454,0.007633587786259542,0.01094391244870041,524.0,0.4937297734627832,0.5680707470328136,0.5282978032680445,8594.0,0.009259259259259259,0.005649717514124294,0.007017543859649123,354.0,0.021739130434782608,0.014705882352941176,0.017543859649122806,68.0,0.007547169811320755,0.0136986301369863,0.009732360097323601,146.0,0.0,0.0,0.0,248.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,59.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,161.0,0.3107613050944476,0.031176432919271822,0.030071709614034912,0.029401419770277843,17470.0,0.27559763574399937,0.3107613050944476,0.2912577003654624,17470.0
8,0.0,0.0,0.0,37.0,0.02613240418118467,0.031446540880503145,0.028544243577545196,477.0,0.0,0.0,0.0,23.0,0.030534351145038167,0.013157894736842105,0.01839080459770115,304.0,0.02127659574468085,0.01996007984031936,0.02059732234809475,501.0,0.007692307692307693,0.0078125,0.007751937984496124,128.0,0.024691358024691357,0.025210084033613446,0.02494802494802495,238.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,78.0,0.15625,0.15695915279878972,0.15660377358490565,2644.0,0.009615384615384616,0.010752688172043012,0.01015228426395939,93.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.06574675324675325,0.06590724165988608,0.065826899634295,1229.0,0.024742268041237112,0.024640657084188913,0.024691358024691357,487.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,27.0,0.013262599469496022,0.014245014245014245,0.013736263736263736,351.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,75.0,0.02040816326530612,0.02064896755162242,0.020527859237536656,339.0,0.0,0.0,0.0,60.0,0.025597269624573378,0.02862595419847328,0.02702702702702703,524.0,0.4887659868648462,0.49360018617640217,0.49117119203381,8594.0,0.022598870056497175,0.022598870056497175,0.022598870056497175,354.0,0.0,0.0,0.0,68.0,0.00980392156862745,0.00684931506849315,0.008064516129032258,146.0,0.013157894736842105,0.012096774193548387,0.012605042016806723,248.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,21.0,0.005917159763313609,0.006211180124223602,0.006060606060606061,161.0,0.27630223239839724,0.02927858448608424,0.029112821236983645,0.029069637129130098,17470.0,0.27391118494429384,0.27630223239839724,0.27502764869995916,17470.0
9,0.0,0.0,0.0,37.0,0.04330708661417323,0.023060796645702306,0.030095759233926128,477.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,304.0,0.03221288515406162,0.04590818363273453,0.03786008230452675,501.0,0.0,0.0,0.0,128.0,0.029535864978902954,0.029411764705882353,0.029473684210526315,238.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,78.0,0.14977307110438728,0.14977307110438728,0.14977307110438728,2644.0,0.010638297872340425,0.010752688172043012,0.0106951871657754,93.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,37.0,0.06655844155844155,0.06672091131000814,0.06663957740755791,1229.0,0.02268041237113402,0.022587268993839837,0.02263374485596708,487.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,27.0,0.010638297872340425,0.011396011396011397,0.011004126547455296,351.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,75.0,0.008620689655172414,0.008849557522123894,0.008733624454148471,339.0,0.0,0.0,0.0,60.0,0.036637931034482756,0.03244274809160305,0.03441295546558704,524.0,0.4852808988764045,0.5025599255294392,0.49376929232879846,8594.0,0.028409090909090908,0.02824858757062147,0.028328611898016998,354.0,0.014084507042253521,0.014705882352941176,0.014388489208633094,68.0,0.0,0.0,0.0,146.0,0.004132231404958678,0.004032258064516129,0.004081632653061225,248.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,21.0,0.012048192771084338,0.012422360248447204,0.012232415902140673,161.0,0.2798511734401832,0.029744997765038056,0.02999694067779782,0.029731796417198038,17470.0,0.27160839227714767,0.2798511734401832,0.2755325063422142,17470.0
10,0.0,0.0,0.0,37.0,0.023923444976076555,0.031446540880503145,0.02717391304347826,477.0,0.0,0.0,0.0,23.0,0.0175,0.023026315789473683,0.019886363636363636,304.0,0.033419023136246784,0.02594810379241517,0.029213483146067417,501.0,0.0,0.0,0.0,128.0,0.013215859030837005,0.012605042016806723,0.012903225806451613,238.0,0.0,0.0,0.0,35.0,0.013513513513513514,0.01282051282051282,0.013157894736842105,78.0,0.15664018161180476,0.15658093797276854,0.15661055418952147,2644.0,0.010526315789473684,0.010752688172043012,0.010638297872340425,93.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.07296849087893864,0.07160292921074043,0.07227926078028747,1229.0,0.043010752688172046,0.04106776180698152,0.04201680672268908,487.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,27.0,0.03773584905660377,0.039886039886039885,0.038781163434903045,351.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.018518518518518517,0.013333333333333334,0.015503875968992248,75.0,0.017543859649122806,0.017699115044247787,0.01762114537444934,339.0,0.0,0.0,0.0,60.0,0.02992957746478873,0.03244274809160305,0.031135531135531136,524.0,0.4936264764355046,0.49115662089830114,0.4923884514435696,8594.0,0.02373887240356083,0.022598870056497175,0.023154848046309694,354.0,0.0,0.0,0.0,68.0,0.0072992700729927005,0.00684931506849315,0.007067137809187279,146.0,0.01809954751131222,0.016129032258064516,0.017057569296375266,248.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,21.0,0.006097560975609756,0.006211180124223602,0.006153846153846154,161.0,0.27676016027475675,0.03143354890039627,0.03127748749160753,0.031295253593854704,17470.0,0.27801168680687527,0.27676016027475675,0.27734409245094743,17470.0
11,0.0,0.0,0.0,37.0,0.018909899888765295,0.03563941299790356,0.024709302325581394,477.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,304.0,0.018656716417910446,0.00998003992015968,0.013003901170351105,501.0,0.02666666666666667,0.015625,0.019704433497536946,128.0,0.004201680672268907,0.008403361344537815,0.0056022408963585435,238.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,78.0,0.15868827742178665,0.1592284417549168,0.1589579006985086,2644.0,0.0038071065989847717,0.03225806451612903,0.00681044267877412,93.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.027777777777777776,0.02702702702702703,0.0273972602739726,37.0,0.07055503292568203,0.061025223759153785,0.06544502617801047,1229.0,0.020454545454545454,0.055441478439425054,0.029883785279468732,487.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,27.0,0.014492753623188406,0.005698005698005698,0.0081799591002045,351.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,75.0,0.02358490566037736,0.014749262536873156,0.018148820326678767,339.0,0.0,0.0,0.0,60.0,0.04950495049504951,0.009541984732824428,0.016,524.0,0.49526330454165507,0.413660693507098,0.45079888409840224,8594.0,0.01750700280112045,0.07062146892655367,0.028058361391694726,354.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,146.0,0.012605042016806723,0.012096774193548387,0.012345679012345678,248.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,21.0,0.007633587786259542,0.006211180124223602,0.00684931506849315,161.0,0.2374928448769319,0.029403310628752878,0.028400224832678175,0.027027130666557014,17470.0,0.2774055937995828,0.2374928448769319,0.2544215366970232,17470.0
